"locationID","verbatimLatitude","verbatimLongitude","verbatimWaterbody","Program"
"OWW04440-0313",36.074086,-91.735771,"PINEY FORK","EPA"
"OWW04440-0319",42.664532,-77.918493,"UNKNOWN","EPA"
"OWW04440-0320",38.608127,-82.711039,"UNKNOWN","EPA"
"OWW04440-0323",35.046785,-98.307921,"WAHITA RIVER","EPA"
"OWW04440-0324",36.11175,-81.510429,"MOTT'S BRANCH","EPA"
"OWW04440-0325",35.971416,-92.857015,"BUFFALO RIVER","EPA"
"OWW04440-0326",39.36572,-77.081795,"SOUTH BRANCH PATAPSCO RIVER","EPA"
"OWW04440-0327",44.965978,-94.671165,"JUDICIAL DITCH #18","EPA"
"OWW04440-0328",37.829098,-86.305183,"SINKING CREEK","EPA"
"OWW04440-0330",41.862782,-75.51378,"STARRUCA CREEK","EPA"
"OWW04440-0333",36.492676,-106.007372,"RIO TUSAS","EPA"
"OWW04440-0334",35.439809,-88.321961,"HURRICANE CREEK","EPA"
"OWW04440-0336",43.584689,-91.015606,"SPRINGVILLE BRANCH BAD AXE RIVER","EPA"
"OWW04440-0337",31.738483,-89.009124,"LITTLE BOGUE HOMO CREEK","EPA"
"OWW04440-0338",42.155268,-73.570181,"U.T. TO TAGHKANIC CREEK","EPA"
"OWW04440-0340",35.87602,-80.360111,"DUNKER'S CREEK","EPA"
"OWW04440-0341",34.538495,-94.485097,"LITTLE COW CREEK","EPA"
"OWW04440-0346",40.734944,-77.239089,"NO NAME","EPA"
"OWW04440-0349",30.617946,-94.292842,"THEUVENINS CREEK","EPA"
"OWW04440-0353",32.023301,-88.688033,"UNKNOWN","EPA"
"OWW04440-0356",37.826218,-82.569544,"DAVIS BRANCH","EPA"
"OWW04440-0358",39.64838,-77.181181,"UNNAMED TRIB TO PINEY CREEK","EPA"
"OWW04440-0359",44.866727,-88.746507,"GARDNER","EPA"
"OWW04440-0360",39.885478,-92.774328,"BRUSH CREEK","EPA"
"OWW04440-0361",30.353652,-89.895581,"BIG BRANCH BAYOU","EPA"
"OWW04440-0362",38.811566,-79.823474,"LIMEKILN RUN","EPA"
