"type","modified","bibilographicCititation","CollectionID","datasetID","institutionCode","verbatimLocation","verbatimLatitude","verbatimLongitude","verbatimWaterbody","State","eventID","locationID","Year","verbatimEventDate","BFWidth","Grad","RchLen","BFWDRatio","BFHeight","WetWidth","WetWidthToDepth","RPD","PctPool","PctDry","StreamOrder","D50","PctFines2","PctFines6","LWDFreq","LWDVol","OEratio","MMI","Program"
NA,NA,NA,NA,NA,NA,NA,44.7831,-72.8594,"BLACK CREEK","VT",NA,"NEWS04-0905","2004",NA,9.7454545455,0.92,367.2,7.6119391489,0.6090909091,NA,11.335748536,14.536602475,0,0,NA,NA,67.619047619,29.523809524,NA,0.0161887661,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.78309,-72.85946,"BLACK CREEK","VT",NA,"NEWS04-0905","2004",NA,9.7454545455,0.92,367.2,7.6119391489,0.6090909091,NA,11.335748536,14.536602475,0,0,NA,NA,67.619047619,29.523809524,NA,0.0161887661,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.8061,-72.1368,"WILLOUGHBY RIVER","VT",NA,"NEWS04-1001","2004",NA,16.845454545,1.57,480,11.537381656,0.7272727273,NA,16.209806943,23.856659028,0,0,NA,NA,24.347826087,1.7391304348,NA,0.008219329,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.37608,-70.75558,"HORSESHOE STREAM","ME",NA,"NEWS04-1105","2004",NA,11.009090909,1.45,316.8,14.47160698,0.3636363636,NA,27.632519203,7.5413002703,0,0,NA,NA,13.333333333,13.333333333,NA,0.001870011,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.02828,-71.28039,"CEDAR STREAM","NH",NA,"NEWS04-1106","2004",NA,11.418181818,2.41,316.8,11.384105923,0.5363636364,NA,21.513386413,6.8991088279,0,0,NA,NA,7.619047619,0.9523809524,NA,0.0005772293,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.1809,-70.01658,"CARRYING PLACE STREAM","ME",NA,"NEWS04-1202","2004",NA,12.081818182,2.6,316.8,12.370581995,0.3818181818,NA,20.539278863,21.311837718,16,0,NA,NA,13.333333333,4.7619047619,NA,0.0028621666,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.29801,-68.8517,"SCHOODIC BROOK","ME",NA,"NEWS04-1302","2004",NA,19.954545455,1.17,712.8,29.537168722,0.4,NA,57.309906756,4.9060361256,0,0,NA,NA,10.476190476,5.7142857143,NA,0.0026274642,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.96026,-68.99748,"KENDUSKEAG RIVER","ME",NA,"NEWS04-1303","2004",NA,18.281818182,1,712.8,10.598010497,0.4181818182,NA,15.371444907,24.742147585,27,0,NA,NA,71,39,NA,0.0012365631,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,45.45344,-68.09774,"SPRUCE BROOK","ME",NA,"NEWS04-1410","2004",NA,9.0636363636,1.8,237.6,18.24567606,0.3,NA,25.679260178,7.2418585859,1,0,NA,NA,16.19047619,3.8095238095,NA,0.0028102827,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.2811,-72.4543,"WINOOSKI RIVER","VT",NA,"NEWS04-1702","2004",NA,21.854545455,0.95,792,11.641844139,0.7272727273,NA,18.853148976,20.148631173,0,0,NA,NA,74.285714286,28.571428571,NA,0.0038955907,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,44.5808,-72.0714,"MILLER RUN","VT",NA,"NEWS04-1801","2004",NA,15.436363636,1.7,514.8,14.630404555,0.6818181818,NA,30.286022871,9.9087386019,0,0,NA,NA,22.857142857,0,NA,0.001799251,NA,NA,"EPA"
